Year,CountyNum,CountyName,Sector,RNR, MMTherms 
1990,36,SAN BERNARDINO,TCU,Non-Residential,11.0685
1990,37,SAN DIEGO,Ag With Water Pump,Non-Residential,6.4655
1990,37,SAN DIEGO,Commercial,Non-Residential,115.6896
1990,37,SAN DIEGO,Industrial,Non-Residential,33.3772
1990,37,SAN DIEGO,Mining,Non-Residential,5.2758
1990,37,SAN DIEGO,Residential,Residential,337.9149
1990,37,SAN DIEGO,TCU,Non-Residential,19.7824
1990,38,SAN FRANCISCO,Ag With Water Pump,Non-Residential,0.118
1990,38,SAN FRANCISCO,Commercial,Non-Residential,86.6613
1990,38,SAN FRANCISCO,Industrial,Non-Residential,9.0653
1990,38,SAN FRANCISCO,Mining,Non-Residential,0.5334
1990,38,SAN FRANCISCO,Residential,Residential,180.5132
1990,38,SAN FRANCISCO,TCU,Non-Residential,12.9716
1990,39,SAN JOAQUIN,Ag With Water Pump,Non-Residential,3.3987
1990,39,SAN JOAQUIN,Commercial,Non-Residential,28.2912
1990,39,SAN JOAQUIN,Industrial,Non-Residential,164.7844
1990,39,SAN JOAQUIN,Mining,Non-Residential,2.9193
1990,39,SAN JOAQUIN,Residential,Residential,84.8927
1990,39,SAN JOAQUIN,TCU,Non-Residential,1.2777
1990,40,SAN LUIS OBISPO,Ag With Water Pump,Non-Residential,2.6173
1990,40,SAN LUIS OBISPO,Commercial,Non-Residential,14.2557
1990,40,SAN LUIS OBISPO,Industrial,Non-Residential,0.7094
1990,40,SAN LUIS OBISPO,Mining,Non-Residential,1.4743
1990,40,SAN LUIS OBISPO,Residential,Residential,33.8366
1990,40,SAN LUIS OBISPO,TCU,Non-Residential,0.8652
1990,41,SAN MATEO,Ag With Water Pump,Non-Residential,5.0803
1990,41,SAN MATEO,Commercial,Non-Residential,44.9419
1990,41,SAN MATEO,Industrial,Non-Residential,20.5099
1990,41,SAN MATEO,Mining,Non-Residential,0.5504
1990,41,SAN MATEO,Residential,Residential,151.428
